ID_Temps,ID_Condition,Temperature,Humidite,Vitesse_Vent
35546,15,3.96,1.0,1.85
30090,15,9.95,0.93,3.36
35217,9,22.57,0.42,20.72
25581,35,21.13,0.59,16.79
7352,15,23.89,0.48,20.17
12114,12,11.71,0.96,3.22
16088,12,10.58,0.63,9.26
56127,9,11.56,0.57,6.12
43629,12,24.89,0.55,16.95
969,9,18.86,0.76,14.12
45711,12,32.6,0.42,19.14
14502,21,-2.2,0.72,16.79
45430,13,2.82,0.89,12.54
47214,11,-3.94,0.85,8.05
26180,12,6.13,0.7,5.1
18763,35,6.07,0.93,10.95
34918,9,4.91,0.87,28.35
16100,35,8.91,0.82,4.7
45719,12,3.13,0.89,3.41
8238,35,10.11,0.84,5.41
29820,15,3.89,0.76,9.03
4344,9,0.27,0.89,12.28
28011,9,13.79,0.75,10.67
13343,15,17.2,0.81,3.22
43935,12,21.34,0.8,4.11
26500,12,27.77,0.49,5.07
23525,15,28.93,0.36,3.78
24427,15,29.99,0.3,9.74
40165,9,20.92,0.4,12.94
24724,12,24.91,0.34,15.1
21435,9,22.78,0.58,2.58
39551,9,12.89,0.58,14.17
9745,12,8.91,0.58,12.25
45458,9,11.09,0.57,21.41
10617,15,12.83,0.55,9.37
24124,35,8.84,0.93,6.47
27117,12,19.68,0.58,3.72
54068,9,17.11,0.52,4.4
53458,12,9.16,0.34,11.11
35578,12,21.02,0.42,4.88
3476,12,21.16,0.53,9.35
27120,9,12.77,0.77,6.04
19949,9,7.79,0.76,23.78
7965,12,9.3,0.56,12.9
38021,15,0.22,0.85,2.29
43364,9,11.09,0.81,9.29
19077,12,15.97,0.75,10.5
2233,15,13.88,0.79,9.61
7126,15,5.93,0.86,2.79
16125,13,8.59,0.93,3.17
59189,9,11.27,0.92,11.17
17299,12,18.84,0.57,28.16
21454,15,3.22,0.76,6.79
18181,12,19.98,0.61,23.31
15832,13,6.09,0.93,3.22
13049,9,17.66,0.85,7.97
56787,9,21.18,0.42,13.15
43965,12,27.33,0.46,3.91
31290,12,30.93,0.3,9.6
29247,12,19.68,0.65,3.19
15175,12,27.15,0.32,12.41
7980,9,19.73,0.8,13.77
2578,35,3.79,0.65,24.54
1322,35,7.16,0.74,19.88
20571,35,8.83,0.78,21.14
44275,23,-4.66,0.92,6.6
26531,11,-6.08,0.92,7.73
1959,15,2.15,0.85,14.01
5878,24,-1.23,0.92,4.83
49246,24,-2.71,0.92,9.27
18503,12,22.18,0.43,13.17
24465,9,17.8,0.73,11.06
13689,15,18.14,0.71,6.83
10955,9,18.61,0.93,7.55
10068,12,8.88,0.76,20.87
36203,35,5.51,0.75,16.99
37750,35,1.11,0.69,7.53
38703,35,7.19,0.51,20.45
31040,9,1.59,0.74,16.62
46666,9,12.19,0.66,12.69
7715,9,23.82,0.41,23.62
32900,9,17.43,0.71,6.79
7717,35,23.61,0.56,22.97
13076,15,21.07,0.53,9.77
38070,12,18.89,0.4,13.8
38073,13,2.27,0.92,3.19
22993,24,-0.92,0.99,4.81
38709,13,9.05,0.91,8.74
34083,15,0.08,0.88,6.67
21489,12,7.34,0.99,1.72
9471,9,10.56,0.8,14.3
3212,35,12.18,0.73,20.27
32910,13,6.12,1.0,3.22
20878,15,6.01,0.83,6.28
34095,12,16.86,0.77,3.22
53213,15,17.82,0.71,7.97
55604,12,23.93,0.41,10.42
25349,35,8.98,0.8,11.54
24176,12,20.0,0.37,8.05
20302,12,18.89,0.4,14.49
14877,9,22.78,0.34,14.49
44006,12,21.11,0.29,3.22
25974,15,15.17,0.96,3.86
11267,9,22.67,0.76,2.7
49592,15,16.36,0.87,4.65
35626,15,13.98,0.87,11.27
43128,12,17.78,0.73,9.66
37153,12,25.0,0.54,6.44
51730,12,27.22,0.54,16.1
14276,9,7.22,0.79,16.1
31668,21,-1.67,0.96,3.22
10377,9,7.22,0.79,20.93
2289,35,2.78,1.0,17.71
37162,11,-0.05,0.86,9.55
49606,35,3.89,0.92,22.54
30483,9,22.78,0.44,16.1
58663,9,21.06,0.57,24.47
2908,12,17.95,0.81,10.98
7750,15,27.57,0.29,11.09
47595,12,15.0,0.78,4.83
23917,12,24.57,0.67,11.22
8928,9,7.22,0.86,4.83
11609,9,13.89,0.33,27.37
44024,35,16.11,0.39,17.71
52026,9,6.11,0.89,3.22
16783,25,7.22,0.65,35.42
22441,9,12.87,0.72,13.93
33833,12,22.22,0.55,11.27
48731,12,18.94,0.8,17.29
25398,9,9.55,0.93,5.15
43455,13,7.22,0.93,8.05
26602,13,10.0,0.93,4.83
33530,25,10.39,0.66,31.11
36875,35,9.11,0.93,4.04
17970,35,10.0,0.93,14.49
37493,12,13.89,0.72,4.83
41387,9,2.78,0.82,4.83
6921,9,4.44,0.92,6.44
20051,9,13.89,0.59,17.71
13127,35,8.89,0.77,8.05
12245,12,3.89,0.83,17.18
25714,15,1.67,0.85,14.49
16796,15,15.14,0.66,3.2
56870,9,17.73,0.61,12.16
19462,35,17.22,0.81,11.27
11944,15,12.22,0.72,12.88
32652,35,8.22,0.81,5.88
47618,35,7.62,0.9,3.43
33550,12,21.21,0.56,13.8
7466,12,21.18,0.3,3.48
57178,35,7.76,0.89,25.42
55967,12,11.61,0.71,3.45
42014,12,24.32,0.71,8.05
47915,12,15.53,1.0,6.2
15281,12,28.86,0.43,10.43
8073,9,22.36,0.88,3.62
55659,12,19.12,0.74,10.59
51171,23,-1.11,0.92,14.1
14641,9,1.98,0.92,7.44
35068,13,2.68,0.96,12.04
27220,23,-0.14,0.92,15.2
8960,35,10.09,0.86,14.01
11960,9,7.34,0.7,20.35
55668,9,7.91,0.89,3.01
36895,13,4.68,0.96,10.26
22475,24,-10.21,0.89,6.25
41117,35,6.27,0.93,14.39
38463,35,1.14,0.85,7.94
44051,24,-2.24,0.96,2.06
807,21,-6.16,0.86,3.43
46433,11,-0.51,0.93,12.61
46736,13,1.09,0.93,8.1
50588,12,33.91,0.44,4.8
16544,12,30.16,0.58,7.21
15940,9,23.53,0.7,11.87
39997,35,11.12,0.96,11.03
11050,12,15.96,0.93,0.0
44061,23,-2.32,0.72,17.31
46746,12,1.81,0.78,20.38
58996,9,20.02,0.4,22.12
29360,9,13.53,0.7,2.08
3608,12,17.02,0.93,12.56
46750,35,8.89,0.82,22.02
4482,35,25.04,0.56,11.16
12872,35,12.73,0.9,8.05
11351,12,9.7,0.92,10.18
56297,15,4.97,0.96,3.22
29369,9,9.94,0.71,6.02
17143,35,7.81,0.96,11.33
12602,35,10.05,0.86,4.91
32690,15,5.07,0.7,10.85
1431,35,7.76,0.74,13.83
45289,15,2.76,0.82,9.71
45592,9,12.84,0.68,11.33
44385,15,19.79,0.53,5.14
12879,13,7.77,1.0,1.61
10467,12,8.92,1.0,3.01
16572,9,20.95,0.54,10.92
38171,35,16.06,0.58,4.78
27256,9,13.96,0.28,12.65
8124,9,7.19,0.92,9.6
35409,12,15.09,0.92,6.63
51512,12,22.11,0.4,22.17
49381,15,20.86,0.77,2.83
47087,12,6.11,0.64,20.29
45888,11,-6.06,0.92,2.98
227,9,5.16,0.91,9.29
11687,35,5.97,0.94,12.28
49395,35,0.58,0.81,24.63
43826,9,2.36,0.92,14.33
47985,9,17.6,0.75,25.74
44685,35,15.51,0.81,14.31
18041,12,35.95,0.3,13.38
33292,12,23.86,0.62,8.66
18642,12,15.91,0.93,4.73
17446,9,29.82,0.39,9.19
2985,12,27.67,0.53,12.69
55730,12,21.01,0.42,27.18
1176,12,27.11,0.54,11.16
11385,9,22.0,0.77,7.41
19242,9,7.45,0.77,7.44
15661,12,9.44,0.83,6.34
11389,9,3.75,0.82,14.02
25479,9,11.09,0.87,3.41
34530,15,3.96,0.89,13.96
13224,12,13.89,0.64,5.07
22235,9,4.26,0.92,3.06
18666,13,7.73,0.96,11.03
57865,13,12.05,0.96,3.75
32736,12,19.01,0.73,8.19
33022,9,26.21,0.36,3.53
21623,12,36.16,0.19,3.49
14427,12,8.96,0.89,4.65
55758,12,13.84,0.76,4.54
33941,12,18.64,0.66,9.32
29740,0,-0.64,0.74,35.21
41199,11,-3.8,0.99,1.55
25515,11,-10.0,0.84,4.83
52735,11,0.0,1.0,12.88
7873,9,5.03,0.7,6.54
53661,12,3.89,0.76,14.49
4552,11,-11.11,0.8,14.49
3375,23,-2.81,0.79,13.64
44445,35,2.98,0.85,14.18
59941,23,0.0,0.85,8.05
31479,12,5.0,0.82,17.71
10224,9,2.22,0.85,9.66
1835,11,-1.11,0.92,20.93
35481,12,2.22,0.75,20.93
21050,15,22.02,0.69,6.01
17484,9,24.31,0.54,20.41
30616,12,22.82,0.84,3.2
43277,9,25.02,0.74,12.49
2747,12,32.26,0.33,16.29
22577,15,22.78,0.73,7.76
584,15,32.78,0.37,17.69
48830,9,27.64,0.56,11.14
57584,9,28.77,0.45,3.72
27934,9,27.91,0.38,11.99
39164,12,20.93,0.69,12.72
30036,12,19.81,0.81,3.43
50380,12,7.78,0.4,4.83
50382,19,22.78,0.2,25.76
13568,15,6.22,0.37,14.25
27338,35,10.56,0.89,0.0
18385,9,12.86,0.69,4.48
34854,35,7.22,0.73,12.78
50678,13,2.71,1.0,10.77
59401,12,11.08,0.71,24.96
56387,9,25.04,0.32,3.59
4580,9,17.71,0.84,12.94
56692,15,27.73,0.55,12.7
9969,15,27.18,0.6,0.81
11762,9,17.18,0.81,12.46
4871,9,20.19,0.82,12.25
22895,12,21.11,0.67,7.94
49797,12,22.16,0.68,17.36
19599,24,-0.25,0.93,7.97
15071,35,2.22,0.92,15.96
27052,21,-0.03,0.76,3.54
51299,24,-0.08,0.93,2.93
14162,23,-2.2,0.81,17.03
6425,21,-2.91,0.92,3.45
16362,11,-0.02,0.87,5.33
49812,35,1.7,0.92,17.66
51308,12,2.25,0.51,8.81
19306,12,15.09,0.96,3.22
45398,12,29.97,0.37,14.89
51310,15,26.06,0.31,10.88
28884,15,24.61,0.7,6.07
6122,15,13.96,0.96,0.0
38890,12,19.97,0.78,3.35
37331,35,13.19,0.65,17.07
19611,9,20.05,0.92,7.7
9094,9,1.88,0.9,3.65
39197,12,8.55,0.71,17.02
31839,9,3.02,0.8,14.67
53719,12,17.24,0.31,10.05
40699,23,-2.77,0.88,2.85
53721,12,22.27,0.3,3.09
41257,9,15.26,0.85,7.02
54306,35,9.98,0.72,10.37
3434,9,11.04,0.89,3.36
28570,15,7.16,0.68,24.94
42729,12,10.99,0.8,8.02
22918,15,10.35,0.81,3.41
13611,33,-2.27,0.82,11.54
52812,15,9.77,0.59,16.74
23798,15,8.67,0.59,14.73
33097,15,14.05,0.81,8.08
49484,12,22.13,0.44,13.8
42736,9,17.1,0.67,3.86
53117,12,11.76,0.86,6.44
26474,9,22.78,0.7,27.66
10595,15,12.89,0.45,8.05
32184,12,13.63,0.69,8.11
9700,9,18.18,0.76,13.54
24097,12,21.03,0.69,9.84
2202,15,29.88,0.26,7.87
54616,35,5.02,0.88,5.83
51041,33,-5.93,0.89,4.49
35561,35,7.27,0.8,11.0
8820,12,6.16,0.6,12.53
33402,12,5.49,0.83,7.21
15124,11,-0.04,0.92,7.78
73,35,2.97,0.99,16.39
42180,12,4.06,0.95,10.63
28281,12,10.14,0.82,10.42
4339,12,3.95,0.95,11.56
57970,21,-0.63,0.96,8.23
76,15,33.96,0.27,12.85
16409,12,23.58,0.47,14.55
39544,12,33.86,0.25,8.71
26498,9,13.48,0.71,11.85
42763,12,24.87,0.64,5.75
9732,9,17.25,0.82,1.26
6811,15,17.89,0.43,7.04
3470,15,14.04,0.41,4.46
42193,9,7.94,0.7,14.14
52212,9,7.2,0.93,11.09
32550,12,19.98,0.53,17.53
36174,9,2.19,0.72,4.28
46311,12,6.03,0.76,8.05
43056,9,6.88,0.81,11.87
54934,35,12.27,0.83,3.14
16425,35,15.02,0.67,9.34
51943,15,6.04,0.61,7.78
19075,35,9.92,0.88,8.32
45473,15,8.47,0.89,11.21
57091,9,17.83,0.75,3.53
5866,12,7.27,0.78,3.2
51957,9,22.59,0.52,14.02
19386,9,20.07,0.46,7.87
12169,12,24.62,0.35,14.83
20851,12,27.48,0.47,14.68
48674,12,22.97,0.63,2.67
56789,12,23.71,0.49,11.19
1949,12,27.69,0.28,11.22
44562,9,4.96,0.83,19.69
24454,9,3.89,0.83,15.47
46329,35,7.77,0.96,1.4
13958,11,-4.99,0.85,5.97
28634,13,7.16,0.93,2.69
22072,9,9.07,0.88,15.41
55253,12,5.09,0.69,10.32
59760,9,8.86,0.66,14.52
22674,24,-1.16,0.96,4.51
23276,24,-1.43,0.92,10.42
5886,15,17.2,0.75,3.33
53187,35,29.9,0.36,15.17
41054,12,26.16,0.39,9.21
37421,9,24.0,0.66,9.24
31314,9,19.98,0.56,4.72
17914,9,7.22,0.65,17.68
56818,9,10.07,0.6,13.91
15858,35,6.12,0.53,17.32
54685,9,7.76,0.34,14.55
46965,33,-0.93,0.73,13.99
4689,35,4.11,0.93,9.23
4690,12,20.99,0.46,14.28
1040,15,30.14,0.39,11.32
51986,12,7.85,0.93,3.35
38708,9,12.24,0.79,10.09
8884,9,7.04,0.74,17.1
36528,9,11.97,0.93,5.99
27470,9,13.84,0.73,23.14
23301,12,8.79,0.89,13.46
27474,9,11.06,0.8,20.09
8309,15,15.72,0.5,10.82
50532,15,14.1,0.57,10.88
51994,35,9.33,0.89,10.32
16464,35,10.16,0.77,15.02
59518,9,12.25,0.74,7.87
16757,35,9.89,0.87,3.33
30458,9,14.82,0.78,19.67
43115,9,10.03,0.83,11.19
45792,9,10.0,0.83,9.66
12215,9,15.0,0.55,4.83
43121,12,7.78,0.65,11.27
26572,12,16.2,0.35,25.84
42541,12,25.0,0.58,9.66
17353,12,30.0,0.29,11.27
5923,15,27.22,0.47,9.66
7739,12,31.11,0.29,14.49
23316,35,7.26,0.93,12.38
40513,11,-0.56,0.96,6.44
37159,33,-7.33,0.88,11.82
26262,23,0.0,0.75,8.05
34117,23,-7.52,0.84,9.74
53225,24,-6.11,0.88,3.22
39929,21,-2.78,0.78,3.22
53855,9,1.11,0.85,16.1
12541,12,22.87,0.82,9.26
58943,9,20.56,0.66,25.76
48443,9,20.11,0.83,9.23
53240,9,8.89,0.63,27.37
53544,12,7.22,0.79,22.7
58345,12,7.12,0.51,16.99
20321,9,13.72,0.32,23.41
16500,9,11.11,0.8,17.71
4736,12,8.89,0.66,24.15
35338,9,28.8,0.34,15.34
59544,9,18.89,0.65,9.66
38433,12,26.11,0.44,11.27
30784,12,20.0,0.68,0.0
49626,12,23.89,0.25,8.05
2025,12,7.22,0.55,3.22
47016,35,5.0,0.86,24.15
21221,12,7.27,0.87,5.06
2027,3,8.89,0.89,30.59
32322,35,3.33,0.79,6.44
57464,35,6.11,0.86,17.71
28118,12,12.78,0.59,8.05
4446,9,27.22,0.28,9.66
3264,15,13.16,0.74,10.9
22456,12,7.85,0.96,10.92
49646,35,11.23,1.0,14.44
59846,12,11.56,0.72,10.59
6298,9,13.78,0.75,7.34
1099,15,9.09,0.83,4.12
15596,15,12.73,0.74,10.21
5970,12,17.02,0.97,3.17
53888,12,22.64,0.79,8.19
30799,9,18.82,0.9,4.96
8079,33,-0.09,0.82,25.31
31704,11,-2.76,0.98,7.18
12853,11,-7.11,0.98,12.14
16806,24,-7.83,0.92,4.67
4461,24,-7.73,0.99,4.69
32012,35,1.04,0.92,16.82
38460,35,2.52,0.93,6.41
22474,35,9.98,0.84,10.72
32023,11,-7.91,0.72,9.21
34458,35,17.16,0.92,19.06
28423,9,15.15,0.91,7.16
28424,9,16.02,0.93,17.95
6320,35,2.73,0.62,14.31
32680,12,11.18,0.5,3.51
13486,35,12.33,0.5,10.75
17130,9,11.41,0.63,13.01
47954,9,22.45,0.67,7.87
11662,12,21.03,0.6,20.14
54462,25,11.04,0.72,33.21
40579,9,12.32,0.96,4.04
39359,9,15.02,0.93,9.45
35709,9,25.73,0.43,1.45
8107,15,14.87,0.83,0.0
59875,12,7.87,0.88,5.12
59876,9,12.31,0.7,10.98
20377,9,10.47,0.84,19.43
45864,9,2.73,0.89,28.11
36924,35,8.77,0.93,13.85
10157,35,14.91,0.68,16.97
20385,9,5.88,0.95,2.69
34778,9,10.49,0.96,10.56
54776,13,7.64,0.96,4.88
36628,12,20.88,0.45,5.38
209,12,17.64,0.65,13.85
23667,12,19.79,0.54,7.78
15632,12,12.75,0.9,12.45
51507,9,15.86,0.82,9.23
2363,9,5.54,0.78,3.09
47072,12,5.24,0.79,3.19
45877,9,21.11,0.31,6.57
3320,12,21.06,0.57,11.19
16578,9,18.78,0.66,6.63
59892,35,5.02,0.82,4.69
18298,9,5.01,0.94,8.55
33886,35,4.93,0.93,21.38
27586,35,2.83,0.96,26.9
23395,35,0.02,0.91,13.69
22805,13,0.12,0.93,7.65
32391,24,-0.07,0.96,10.93
17724,11,-6.02,0.98,7.39
14377,11,-6.06,0.99,3.22
30854,35,6.16,0.78,17.5
45608,9,4.38,0.89,16.62
42918,11,-4.88,0.83,0.18
46162,21,-0.49,0.99,3.36
59030,24,-2.81,0.97,8.15
40022,21,-1.13,0.8,12.3
22807,24,-5.02,1.0,10.59
59032,24,-7.6,1.0,1.53
5082,15,6.03,0.76,14.51
13816,24,-1.61,1.0,6.15
12003,33,-0.03,0.92,4.81
37572,12,1.07,1.0,11.27
52087,13,3.19,0.99,3.65
57538,12,19.96,0.96,10.11
3328,9,14.98,0.93,7.97
35120,9,16.91,0.83,10.05
7535,15,15.58,0.9,6.44
14998,12,22.16,0.4,28.5
59348,12,19.82,0.85,11.04
12331,23,-6.18,0.98,3.2
59611,35,2.83,0.96,23.26
37587,12,9.49,0.65,13.8
57544,35,8.94,0.82,8.95
31766,12,23.79,0.62,0.95
40048,12,17.57,0.88,3.08
41769,12,15.99,0.87,5.73
8426,24,-0.52,0.91,1.58
47695,9,17.62,0.73,4.46
52107,15,13.73,0.78,4.78
32732,15,19.93,0.57,13.96
10787,13,9.93,0.93,5.02
19546,12,3.86,0.86,0.0
7859,12,16.89,0.6,7.33
33021,12,23.91,0.36,15.49
43542,9,16.64,0.78,2.56
59929,12,5.19,0.55,10.74
56048,12,16.11,0.62,12.88
39419,35,12.78,0.83,20.93
2130,12,11.23,0.77,7.81
54528,12,17.36,0.67,0.0
34249,24,-2.97,1.0,3.01
23725,9,10.86,0.77,10.82
36991,12,0.56,0.85,17.71
39155,9,5.0,0.76,12.88
49431,12,11.11,0.54,30.59
11117,24,-10.0,0.84,11.27
22569,9,8.89,0.66,11.27
55774,12,30.02,0.42,4.69
30904,12,19.91,0.49,12.65
19863,12,27.11,0.5,13.01
7888,12,22.64,0.71,14.06
25225,9,17.14,0.73,3.36
53670,15,28.84,0.33,7.87
58180,9,28.89,0.39,9.0
49777,35,17.74,0.79,27.16
42120,12,28.77,0.46,16.65
49778,18,20.0,0.26,14.49
20748,35,5.56,0.82,11.27
9058,15,3.81,0.41,6.5
10531,12,21.14,0.52,7.97
2761,14,24.08,0.57,32.41
54853,12,22.78,0.48,8.05
15054,15,11.11,0.93,3.22
19288,9,24.92,0.45,10.74
32124,9,13.72,0.8,8.84
32126,9,16.13,0.72,13.48
48845,9,10.6,0.99,6.1
57296,12,10.82,0.82,11.32
32129,12,16.29,0.5,19.59
27040,9,17.96,0.51,25.05
30922,12,29.01,0.51,10.8
14455,12,17.76,0.7,7.66
1239,9,17.82,0.97,5.81
50401,9,18.81,0.9,2.22
22896,9,23.75,0.51,10.8
33968,9,18.87,0.81,11.06
30927,24,-1.6,0.96,3.22
25853,35,2.5,0.87,24.18
1537,9,7.01,0.86,8.11
39180,35,1.62,0.85,14.23
4874,23,-1.02,0.87,5.26
15426,21,-2.97,0.84,7.47
41545,21,-4.71,0.91,6.39
56401,9,5.99,0.93,8.26
13281,9,4.03,0.81,10.93
15075,11,-3.82,0.91,10.06
50105,33,-11.08,0.8,6.02
13284,5,-11.53,0.65,31.57
13885,12,2.61,0.58,7.92
48052,12,24.57,0.64,1.08
37327,15,12.83,0.86,6.1
25,15,20.4,0.97,3.22
5159,12,30.05,0.51,7.39
49471,9,16.96,0.92,2.72
36413,12,22.53,0.71,4.83
16071,12,16.13,0.78,2.9
26143,12,13.92,0.92,4.67
14171,12,24.89,0.65,8.86
31541,11,-0.02,0.83,15.65
6442,9,5.17,0.74,7.15
34298,9,23.04,0.29,16.91
9685,9,12.21,0.71,4.83
22916,13,5.16,0.96,6.63
3444,12,18.89,0.48,15.91
40419,35,22.97,0.62,10.05
21703,35,8.49,0.76,6.58
54598,12,29.83,0.47,8.03
57647,35,22.76,0.53,22.23
24398,12,8.89,0.99,1.29
19035,12,23.98,0.53,9.31
18132,15,11.99,0.74,12.88
29810,12,15.58,0.84,10.98
50454,15,16.02,0.55,12.96
18438,12,19.05,0.39,7.97
18141,35,16.23,0.38,10.45
47781,12,20.99,0.54,3.24
22333,12,29.88,0.34,15.76
39223,12,17.67,0.89,8.66
28003,13,7.03,0.94,0.11
22638,9,1.53,0.89,6.38
56444,23,-1.26,0.81,6.96
57664,9,7.29,0.93,6.21
11192,9,7.49,0.65,9.42
2542,35,2.57,0.98,4.97
4644,35,8.88,0.72,15.38
27099,15,2.27,0.96,6.15
58856,12,1.12,0.74,26.92
38643,9,1.47,0.85,11.35
58566,15,1.31,0.95,11.38
29220,12,33.55,0.28,10.0
15797,15,20.91,0.66,3.22
27102,9,29.84,0.31,16.62
12139,9,20.01,0.68,11.06
34027,9,17.83,0.43,10.88
5837,12,22.78,0.37,21.33
4348,12,16.66,0.75,2.95
44820,12,22.22,0.71,6.52
1605,12,32.21,0.31,6.34
34933,12,27.01,0.32,20.98
42765,12,22.76,0.27,12.43
36461,9,14.92,0.68,5.12
19063,9,22.55,0.45,3.32
2836,9,22.11,0.4,3.57
25301,35,11.64,0.78,6.34
48103,35,1.09,0.93,15.42
52225,12,6.18,0.86,4.99
30706,12,2.22,0.85,7.97
47509,12,5.56,0.82,17.0
15818,9,9.51,0.69,25.33
18476,15,7.78,0.58,4.83
36177,9,9.83,0.87,2.98
11527,35,5.53,0.82,18.23
23255,12,11.21,0.69,6.44
2848,12,20.98,0.43,16.65
52557,15,6.54,0.84,3.14
19675,9,17.16,0.76,23.68
23256,13,12.81,0.93,3.49
14541,9,12.82,0.77,3.33
10333,9,10.0,0.83,15.47
57986,12,10.09,0.83,6.33
53480,9,17.81,0.38,11.64
13378,15,7.78,0.73,11.04
15170,35,13.02,0.53,6.91
17307,12,32.2,0.3,9.35
57095,15,21.5,0.72,10.93
5242,35,2.85,0.89,17.21
383,12,0.05,0.75,13.85
51091,12,13.86,0.37,4.96
44283,12,0.99,0.89,3.57
4381,23,-0.18,0.73,6.81
31625,12,18.81,0.91,22.49
15849,12,29.95,0.34,12.14
43978,12,15.16,0.86,6.49
2869,15,16.69,0.93,6.15
32889,15,21.64,0.76,6.21
55584,15,28.07,0.51,4.59
34387,35,17.47,0.92,11.01
35292,9,17.73,0.33,7.57
22986,15,13.19,0.68,2.9
53206,12,19.86,0.46,4.97
9464,35,22.85,0.65,0.61
12514,12,17.04,0.76,10.18
1344,9,16.57,0.92,2.48
47553,12,12.24,0.86,14.2
12198,12,7.73,0.79,3.7
14255,9,17.73,0.38,4.73
31325,15,5.58,0.8,10.93
25673,9,14.84,0.63,24.52
26565,9,12.84,0.72,16.94
13081,9,10.31,0.83,12.45
22997,12,19.73,0.62,4.65
57736,12,10.09,0.85,3.27
17342,9,14.97,0.65,27.61
53517,15,4.12,0.86,6.94
8018,12,18.91,0.61,17.13
18838,12,10.68,0.89,1.5
10668,35,8.89,0.93,5.09
34704,9,10.09,0.84,8.02
18843,15,14.33,0.78,3.56
23004,12,24.99,0.36,10.56
38998,12,10.0,0.77,3.22
49280,35,12.22,0.74,3.22
30173,25,15.0,0.42,37.03
38407,12,8.82,0.75,3.69
55610,9,21.11,0.81,3.22
40506,9,23.89,0.74,9.66
8614,12,27.22,0.34,17.71
52907,9,11.11,0.8,11.27
50228,9,2.22,0.79,24.15
1690,11,-7.22,0.88,14.49
21194,33,-8.89,0.67,12.88
14278,33,-15.0,0.83,14.49
46370,9,12.87,0.78,25.5
33506,11,-1.04,0.92,12.7
28686,35,2.22,0.79,24.15
49600,11,-1.63,0.99,11.46
41679,21,-0.07,0.82,11.19
46689,23,0.0,0.63,24.15
17632,12,1.11,0.54,8.05
53534,21,-5.0,0.81,0.0
35961,11,-6.11,0.92,6.44
29905,24,0.0,0.92,9.66
6571,9,7.66,0.77,19.61
13727,13,7.78,0.83,17.71
38099,35,10.0,0.77,16.1
35317,13,2.22,1.0,22.54
52615,9,22.31,0.66,16.2
2295,9,27.22,0.34,3.22
13730,12,22.31,0.42,11.46
12231,12,27.78,0.35,3.22
28098,9,18.89,0.93,6.44
59262,12,18.61,0.92,6.23
46703,15,18.33,0.73,3.22
3559,9,31.84,0.27,20.54
44618,9,17.78,0.84,6.44
47887,12,6.89,0.56,26.65
36258,9,11.11,0.32,20.93
30494,35,8.02,0.75,8.37
18553,9,11.11,0.77,12.88
34733,12,18.89,0.65,9.66
57448,9,18.94,0.78,9.58
43157,12,21.46,0.51,7.57
54726,12,27.22,0.41,14.49
47607,13,7.78,1.0,8.05
11010,13,5.05,0.94,5.41
9230,9,5.56,0.93,6.44
20925,9,13.89,0.67,12.88
55330,9,7.79,0.89,10.71
37495,9,7.22,0.73,17.71
36584,9,7.22,0.79,8.05
42282,9,13.91,0.66,23.6
44344,9,22.78,0.44,14.49
48454,35,18.89,0.73,9.66
56256,35,22.27,0.64,17.18
44631,12,16.67,0.72,14.49
1098,12,17.38,0.58,9.43
1390,25,15.0,0.78,28.98
6302,9,27.15,0.61,9.21
35678,12,21.57,0.88,10.38
33233,12,15.66,0.99,5.1
22161,11,-0.2,0.77,13.41
12577,35,3.64,1.0,14.01
59559,11,-2.22,0.96,22.46
8362,24,-12.46,0.91,3.08
1108,11,-0.74,0.92,16.82
30805,21,-0.07,0.85,14.3
40562,9,6.24,0.85,22.51
8364,9,9.86,0.93,10.11
54182,11,-2.29,0.92,10.82
37837,13,7.28,0.99,2.25
38143,24,-1.42,0.92,13.44
25730,13,0.11,0.93,3.41
14945,24,-6.18,0.88,12.33
48199,11,-2.2,0.96,20.25
22480,15,21.53,0.93,3.3
1118,12,19.98,0.79,3.32
10135,12,15.63,0.91,10.22
40850,12,20.25,0.77,11.21
8098,9,16.47,0.96,5.25
23364,9,19.84,0.64,14.3
10739,12,30.14,0.43,7.89
1129,35,10.79,0.59,11.27
44370,14,6.09,0.53,36.56
2348,35,12.82,0.59,14.15
54758,9,10.99,0.6,16.95
56898,9,0.99,0.64,12.61
2666,3,9.38,0.93,35.1
26637,9,14.82,0.8,6.36
54464,9,15.95,0.88,5.88
34468,9,21.08,0.81,0.23
14345,12,14.92,0.88,10.75
14346,35,12.73,0.96,14.25
57207,12,11.3,0.96,5.88
9556,35,11.02,0.93,3.2
46756,9,9.95,0.93,24.68
28772,23,-1.75,0.99,6.89
31122,9,16.93,0.49,7.18
59321,13,8.85,0.99,11.27
14968,35,13.91,0.67,2.9
30553,9,13.64,0.64,13.78
30839,12,12.28,0.6,3.57
8991,35,18.7,0.93,0.85
42909,35,14.84,0.96,11.17
16570,15,12.87,0.89,1.61
41436,12,12.55,0.84,12.22
3911,6,20.83,0.87,12.56
3630,12,17.2,0.41,7.42
4782,12,11.9,0.7,11.01
52379,12,20.04,0.43,1.85
59018,12,10.39,0.72,10.58
6026,35,8.28,0.87,16.58
36937,15,1.07,0.79,13.59
51516,13,1.16,0.93,4.62
38186,35,0.02,0.92,10.72
25174,21,-1.18,0.89,15.3
49383,15,1.14,0.92,6.55
11999,13,0.14,0.99,10.79
13508,12,2.76,0.82,11.27
49388,24,-2.76,0.98,12.48
56315,24,-4.99,0.99,9.19
43817,33,-4.63,0.91,9.13
